0,1
APC2,0.0
ITGB3BP,0.0001766235115817
CTNND2,0.03094799326329143
CCDC80,0.03094799326329144
GLP2R,0.030947993263291448
ABCA3,0.030947993263291458
THAP7,0.03094799326329147
CDKN1C,0.03094799326329148
ZFPM1,0.03327824227578299
NFYA,0.033278242275783
CHD7,0.033278242275783014
SMC4,0.03327824227578302
BIRC2,0.033278242275783035
GMEB1,0.03327824227578304
ZHX1,0.033278242275783056
SLC47A1,0.03435178716143926
RBM20,0.034351787161439266
MLANA,0.03435178716143928
KRTAP10-1,0.03435178716143929
WISP3,0.0343517871614393
RHCE,0.03435178716143931
ACTL10,0.03435178716143932
MTFR1,0.03435178716143933
ESCO2,0.03435178716143934
RNF139,0.03435178716143935
SLC28A1,0.03094799326329166
SLC26A6,0.03435178716143937
ZNF445,0.03094799326329168
HMOX2,0.03094799326329169
CHMP3,0.030947993263291698
DNAH2,0.030947993263291708
TMEM68,0.03094799326329172
TM2D2,0.03094799326329173
SPATA7,0.03094799326329174
KRTAP10-9,0.03094799326329175
TMPRSS3,0.03094799326329176
ATP1B3,0.03094799326329177
SUGP1,0.03094799326329178
DDX41,0.030947993263291788
NRROS,0.030947993263291798
DENND3,0.03094799326329181
BCL7B,0.03094799326329182
KLK9,0.03094799326329183
NLRP9,0.03094799326329184
KIF23,0.03094799326329185
KIAA1549L,0.03094799326329186
FNDC8,0.030947993263291868
SLC6A17,0.030947993263291878
GRIN2C,0.03094799326329189
KCNJ8,0.0309479932632919
UPB1,0.03094799326329191
PJA2,0.03094799326329192
LDHA,0.03094799326329193
F11R,0.03435178716143964
SLC38A6,0.03435178716143965
GLDN,0.03435178716143966
B3GNT4,0.03435178716143967
CASQ2,0.03435178716143968
LRFN4,0.03435178716143969
ZNF792,0.0343517871614397
PURA,0.03435178716143971
DEDD,0.03435178716143972
RRP36,0.03435178716143973
RSBN1,0.03435178716143974
GADD45G,0.03435178716143975
PCSK5,0.03435178716143976
MECP2,0.03701913200764347
CDR1,0.03701913200764348
CENPP,0.037019132007643486
FAM3A,0.0370191320076435
TAZ,0.03701913200764351
SPANXN2,0.03701913200764352
FLT1,0.03701913200764353
NELFE,0.03701913200764354
FTSJ1,0.03701913200764355
VMA21,0.03701913200764356
MED29,0.03701913200764357
XKR8,0.03805737741584788
FRMD8,0.038057377415847894
SLC1A3,0.0343517871614399
OR9Q2,0.03435178716143991
TTC8,0.03435178716143992
HMOX1,0.03435178716143993
FABP12,0.03435178716143994
FAM163B,0.034351787161439946
RASEF,0.03435178716143996
TMEM216,0.03435178716143997
HYAL2,0.03435178716143998
RAD54L2,0.03435178716143999
IL7,0.03435178716144
TIPIN,0.03435178716144001
TTC9,0.03435178716144002
HIPK1,0.03435178716144003
SDR16C5,0.03435178716144004
HIST1H2AA,0.03094799326329235
FAM169B,0.03435178716144006
TUBGCP2,0.03435178716144007
SLC29A2,0.03435178716144008
ANXA4,0.03435178716144009
TIMM10B,0.0343517871614401
TMEM170A,0.03435178716144011
RAB8B,0.03435178716144012
HIST1H2BE,0.03435178716144013
RPL7L1,0.03435178716144014
KCNS2,0.03435178716144015
LCMT2,0.03435178716144016
OPTC,0.03435178716144017
TMEM102,0.03435178716144018
ZNF582,0.03805737741584819
SPINK5,0.0309479932632925
GALNT3,0.03094799326329251
RPS6KA3,0.02672803720531222
ATP6AP2,0.026728037205312232
ARID4B,0.026728037205312243
U2AF2,0.02672803720531225
PIH1D3,0.02672803720531226
PAF1,0.02672803720531227
FAM9A,0.02672803720531228
SFMBT2,0.02672803720531229
PPP1R13L,0.0267280372053123
SMPX,0.026728037205312312
FIZ1,0.027828219426532023
MRPL14,0.027828219426532033
ADGRL4,0.02782821942653204
KIR2DL1,0.02782821942653205
XPO6,0.02782821942653206
RTP4,0.02782821942653207
EMC6,0.027828219426532082
SPINT1,0.027828219426532092
SYNGR4,0.027828219426532103
DPH6,0.027828219426532113
SLC13A5,0.02782821942653212
MRPL52,0.02782821942653213
ETFBKMT,0.02782821942653214
PLSCR3,0.02497498822737455
CHKA,0.02782821942653216
RBMXL1,0.02497498822737457
MAP7,0.02497498822737458
TIGD6,0.02497498822737459
WDR45B,0.024974988227374602
PPARA,0.02497498822737461
ATP5PD,0.02497498822737462
MTSS1,0.02497498822737463
SERHL2,0.02497498822737464
CHST6,0.02497498822737465
ADGRF5,0.02497498822737466
IGSF22,0.02497498822737467
SNRK,0.02497498822737468
PSKH2,0.02497498822737469
ZNF253,0.0249749882273747
ANKRD6,0.02497498822737471
UTP11,0.02497498822737472
MAS1L,0.02497498822737473
JPH3,0.02497498822737474
PRSS8,0.02497498822737475
CIB4,0.02497498822737476
DUSP18,0.024974988227374772
ESR2,0.02497498822737478
RAB3IL1,0.02497498822737479
CA13,0.0249749882273748
SYNPR,0.02497498822737481
NDC1,0.02497498822737482
RAVER1,0.027828219426532432
PI15,0.027828219426532443
HES1,0.027828219426532453
HACD2,0.02782821942653246
SEC16A,0.02782821942653247
GPN1,0.02782821942653248
KIAA1107,0.02782821942653249
SUMO3,0.0278282194265325
MAP3K21,0.027828219426532512
SMC6,0.027828219426532522
SLC30A8,0.027828219426532533
PARVB,0.027828219426532543
PCOLCE2,0.02782821942653255
PRRG2,0.02782821942653256
C6orf141,0.02782821942653257
ELF5,0.02782821942653258
SMARCA4,0.02985440273703219
BRS3,0.0298544027370322
AMELX,0.02985440273703221
SMS,0.029854402737032222
MED18,0.02985440273703223
KCNIP4,0.030947993263293238
CNTNAP5,0.03094799326329325
ABR,0.03094799326329326
GGT1,0.03094799326329327
